datetime,open,high,low,close,volume
2012-01-04,43.75,43.86,43.75,43.83,510.0
2012-01-05,43.81,44.02,43.8,43.91,2022.0
2012-01-06,43.71,43.84,43.69,43.83,788.0
2012-01-09,43.79,43.92,43.76,43.87,2610.0
2012-01-10,44.0,44.17,44.0,44.12,5302.0
2012-01-11,44.05,44.21,44.0,44.2,2584.0
2012-01-12,44.06,44.15,44.0,44.1,1128.0
2012-01-13,44.02,44.02,43.9,43.92,2678.0
2012-01-16,43.55,43.71,43.52,43.52,1198.0
2012-01-17,43.63,43.74,43.48,43.7,3554.0
2012-01-18,43.71,43.78,43.51,43.52,3790.0
2012-01-19,43.66,43.66,43.53,43.63,958.0
2012-01-20,43.71,43.95,43.66,43.93,500.0
2012-01-30,44.03,44.08,43.94,43.94,854.0
2012-01-31,43.92,44.08,43.8,44.08,1332.0
2012-02-01,43.99,44.76,43.99,44.71,3440.0
2012-02-02,44.7,45.07,44.7,45.05,2884.0
2012-02-03,45.16,45.21,44.9,44.98,3430.0
2012-02-06,45.1,45.6,45.1,45.54,2040.0
2012-02-07,45.58,45.77,45.35,45.4,2228.0
2012-02-08,45.58,45.58,45.26,45.54,4946.0
2012-02-09,45.38,45.52,45.29,45.37,1408.0
2012-02-10,45.25,45.25,45.06,45.1,732.0
2012-02-13,45.23,45.55,45.23,45.52,1594.0
2012-02-14,45.62,45.7,45.5,45.53,1350.0
2012-02-15,45.6,45.67,45.42,45.42,748.0
2012-02-16,45.54,45.54,45.2,45.32,1188.0
2012-02-17,45.35,45.59,45.31,45.48,2062.0
2012-02-20,45.76,45.78,45.51,45.55,3104.0
2012-02-21,45.59,45.81,45.38,45.75,6456.0
2012-02-22,45.62,45.72,45.53,45.55,2210.0
2012-02-23,45.58,45.59,45.35,45.49,3766.0
2012-02-24,45.51,45.52,45.42,45.47,2320.0
2012-02-27,45.53,45.85,45.03,45.57,2914.0
2012-02-28,45.75,45.86,45.68,45.86,5516.0
2012-02-29,45.89,45.91,45.75,45.79,904.0
2012-03-01,45.73,45.93,45.55,45.59,3356.0
2012-03-02,45.8,45.82,45.73,45.81,2082.0
2012-03-05,45.9,46.0,45.38,45.72,14174.0
2012-03-06,45.72,45.72,45.4,45.54,4412.0
2012-03-07,45.4,45.6,45.35,45.38,2042.0
2012-03-08,45.31,45.57,45.31,45.49,1544.0
2012-03-09,45.65,46.12,45.61,46.12,6642.0
2012-03-12,45.9,46.0,45.55,45.83,5472.0
2012-03-13,45.75,46.04,45.75,45.99,5616.0
2012-03-14,46.12,46.29,45.89,45.98,7160.0
2012-03-15,46.06,46.13,45.72,45.89,7426.0
2012-03-16,45.89,46.16,45.73,45.83,5552.0
2012-03-19,45.96,46.05,45.93,45.99,4636.0
2012-03-20,45.9,45.9,45.47,45.49,8006.0
2012-03-21,45.47,45.6,45.35,45.6,1820.0
2012-03-22,45.65,45.8,45.62,45.67,1724.0
2012-03-23,45.74,46.06,45.73,46.05,4838.0
