datetime,open,high,low,close,volume
2014-01-02,41.18,42.26,41.17,42.13,1602996.0
2014-01-03,41.96,42.38,41.75,42.13,2761576.0
2014-01-06,42.15,42.5,41.81,41.94,2672588.0
2014-01-07,41.81,42.25,41.71,41.93,2765338.0
2014-01-08,41.7,41.87,40.8,40.88,3285602.0
2014-01-09,41.0,41.17,40.1,40.5,3737784.0
2014-01-10,40.62,41.17,40.26,40.84,3293378.0
2014-01-13,40.98,42.03,40.54,41.44,4218540.0
2014-01-14,41.35,42.05,40.96,41.78,3671768.0
2014-01-15,41.67,42.12,41.25,41.42,3981698.0
2014-01-16,41.18,41.64,41.07,41.39,3026456.0
2014-01-17,41.25,41.63,41.2,41.43,2169836.0
2014-01-20,41.51,41.88,41.46,41.78,2118776.0
2014-01-21,41.85,41.93,41.42,41.52,1309466.0
2014-01-22,41.02,41.15,40.71,40.9,2258252.0
2014-01-23,40.99,41.06,40.51,40.73,1559286.0
2014-01-24,41.23,41.55,41.12,41.24,2530326.0
2014-01-27,41.59,41.64,40.79,41.02,2117330.0
2014-01-28,41.0,41.15,40.77,41.02,1812776.0
2014-01-29,41.01,41.03,40.64,40.85,1319710.0
2014-01-30,40.98,41.12,40.4,40.61,1210638.0
2014-02-07,41.3,41.31,40.78,40.96,412980.0
2014-02-10,41.0,41.53,40.8,41.49,1950536.0
2014-02-11,41.68,41.76,41.22,41.33,1735816.0
2014-02-12,41.5,41.54,41.03,41.35,2295082.0
2014-02-13,41.5,41.57,41.29,41.36,1665284.0
2014-02-14,41.44,42.5,41.35,42.49,2480476.0
2014-02-17,43.05,44.4,42.85,44.4,2727756.0
2014-02-18,44.41,44.83,43.84,44.12,3059920.0
2014-02-19,43.99,44.69,43.85,44.32,3714632.0
2014-02-20,44.39,44.62,43.53,43.88,3578102.0
2014-02-21,43.83,44.21,43.71,43.94,2749468.0
2014-02-24,44.07,44.25,43.33,44.08,3120350.0
2014-02-25,44.5,44.61,44.05,44.09,3345578.0
2014-02-26,44.0,44.68,43.83,44.41,3540346.0
2014-02-27,43.87,43.87,42.51,42.83,4259772.0
2014-02-28,43.05,43.25,42.72,42.82,3056448.0
2014-03-03,42.96,43.5,42.75,43.34,2660878.0
2014-03-04,43.25,43.57,42.81,42.88,2896910.0
2014-03-05,42.7,43.04,42.62,42.87,2443770.0
2014-03-06,42.87,43.04,42.66,42.82,1893578.0
2014-03-07,42.78,43.54,42.75,43.32,2508262.0
2014-03-10,43.05,43.22,41.38,41.65,3954986.0
2014-03-11,41.93,42.29,41.7,41.94,2024496.0
2014-03-12,42.34,42.66,41.5,42.34,3141810.0
2014-03-13,42.41,43.17,42.29,42.75,2800848.0
2014-03-14,42.46,42.86,42.4,42.69,2155606.0
2014-03-17,43.65,43.88,42.69,43.06,2785618.0
2014-03-18,42.99,43.08,42.21,42.44,2231534.0
2014-03-19,41.6,42.31,41.56,42.11,2067478.0
2014-03-20,41.86,42.47,41.64,41.92,3038494.0
2014-03-21,41.35,41.91,41.31,41.7,1831372.0
2014-03-24,41.85,41.96,41.38,41.52,1428226.0
2014-03-25,41.47,41.53,41.1,41.41,1826138.0
2014-03-26,41.38,41.65,41.26,41.64,1562460.0
2014-03-27,41.5,41.55,41.02,41.28,1823344.0
2014-03-28,41.22,41.44,41.12,41.39,1343874.0
2014-03-31,41.34,41.58,41.21,41.28,1328368.0
2014-04-01,41.31,41.46,40.91,41.17,1288606.0
2014-04-02,41.22,41.29,41.1,41.25,906920.0
2014-04-03,41.45,41.48,41.2,41.39,989192.0
2014-04-04,41.16,41.26,41.12,41.21,742022.0
2014-04-08,41.27,41.7,41.21,41.64,510158.0
2014-04-09,41.7,41.77,41.51,41.55,882738.0
2014-04-10,41.0,41.7,40.99,41.57,1072752.0
2014-04-11,41.74,41.76,41.42,41.48,997636.0
2014-04-14,41.48,41.7,41.45,41.66,806212.0
2014-04-15,41.51,41.67,41.07,41.09,1041368.0
2014-04-16,40.5,40.78,40.37,40.64,1509138.0
2014-04-17,40.82,40.84,40.51,40.57,965550.0
2014-04-18,40.64,40.68,40.42,40.51,643384.0
2014-04-21,40.51,40.59,39.72,39.9,853788.0
2014-04-22,40.01,40.24,39.8,40.11,979376.0
2014-04-23,40.09,40.35,39.96,40.17,941766.0
2014-04-24,40.16,40.31,40.07,40.28,644956.0
2014-04-25,39.96,41.77,39.93,40.7,2221006.0
2014-04-28,40.85,41.2,40.79,41.04,1450404.0
2014-04-29,41.17,41.18,40.75,40.76,1101274.0
2014-04-30,40.8,40.91,40.55,40.65,758010.0
2014-05-05,40.83,41.08,40.7,40.96,250258.0
2014-05-06,41.08,41.13,40.77,40.97,560348.0
2014-05-07,41.01,41.08,40.93,41.02,479156.0
2014-05-08,40.89,40.92,40.4,40.55,773628.0
2014-05-09,40.45,40.63,40.3,40.56,531224.0
2014-05-12,40.56,40.91,40.47,40.87,595978.0
2014-05-13,41.12,41.26,40.86,40.98,428242.0
2014-05-14,41.08,41.18,40.96,41.17,192232.0
2014-05-15,41.61,41.68,41.29,41.32,227652.0
2014-05-16,41.15,41.23,40.99,41.0,181508.0
2014-05-19,40.98,41.36,40.94,41.33,162122.0
2014-05-20,41.41,41.43,41.06,41.14,123304.0
2014-05-21,41.09,41.4,41.03,41.29,132138.0
2014-05-22,41.16,41.49,41.14,41.46,103222.0
2014-05-23,41.58,41.61,41.26,41.42,94090.0
2014-05-26,41.36,41.49,41.35,41.43,59862.0
2014-05-27,41.41,41.47,41.18,41.2,54522.0
2014-05-28,41.0,41.38,40.98,41.3,93800.0
2014-05-29,41.32,41.64,41.25,41.28,110406.0
2014-05-30,41.21,41.53,41.04,41.19,86110.0
2014-06-03,40.98,41.2,40.85,41.08,17610.0
2014-06-04,41.05,41.07,40.9,40.98,16500.0
2014-06-05,41.04,41.04,40.53,40.62,24696.0
2014-06-06,40.76,40.95,40.66,40.76,18344.0
2014-06-09,40.75,40.8,40.57,40.7,7536.0
2014-06-10,40.73,40.76,40.59,40.65,30300.0
2014-06-11,40.72,40.8,40.69,40.71,7696.0
2014-06-12,40.73,40.78,40.51,40.52,2924.0
2014-06-13,41.19,41.19,40.92,41.06,1084.0
2014-06-16,41.2,41.6,40.81,41.6,684.0
